"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","484530014","3","5.1","ug/m3 LC","21","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/02/2010","AQS","484530014","3","9.2","ug/m3 LC","38","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/03/2010","AQS","484530014","3","7.8","ug/m3 LC","33","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/04/2010","AQS","484530014","3","6.5","ug/m3 LC","27","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/05/2010","AQS","484530014","3","7.4","ug/m3 LC","31","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/06/2010","AQS","484530014","3","8.9","ug/m3 LC","37","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/07/2010","AQS","484530014","3","6.2","ug/m3 LC","26","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/08/2010","AQS","484530014","3","5.6","ug/m3 LC","23","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/09/2010","AQS","484530014","3","7.2","ug/m3 LC","30","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/10/2010","AQS","484530014","3","9.1","ug/m3 LC","38","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/11/2010","AQS","484530014","3","7.5","ug/m3 LC","31","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/12/2010","AQS","484530014","3","6.6","ug/m3 LC","28","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/13/2010","AQS","484530014","3","7.9","ug/m3 LC","33","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/14/2010","AQS","484530014","3","8.9","ug/m3 LC","37","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/15/2010","AQS","484530014","3","7.7","ug/m3 LC","32","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/16/2010","AQS","484530014","3","6.2","ug/m3 LC","26","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/17/2010","AQS","484530014","3","6.8","ug/m3 LC","28","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/18/2010","AQS","484530014","3","7.1","ug/m3 LC","30","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/19/2010","AQS","484530014","3","7.3","ug/m3 LC","30","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/20/2010","AQS","484530014","3","12.3","ug/m3 LC","51","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/21/2010","AQS","484530014","3","4.8","ug/m3 LC","20","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/22/2010","AQS","484530014","3","11.6","ug/m3 LC","48","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/23/2010","AQS","484530014","3","7.7","ug/m3 LC","32","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/24/2010","AQS","484530014","3","2.9","ug/m3 LC","12","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/25/2010","AQS","484530014","3","4.4","ug/m3 LC","18","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/26/2010","AQS","484530014","3","7.2","ug/m3 LC","30","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/27/2010","AQS","484530014","3","7.7","ug/m3 LC","32","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
"01/28/2010","AQS","484530014","3","6.3","ug/m3 LC","26","Austin North Hills Drive","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12420","Austin-Round Rock, TX","48","Texas","453","Travis","30.354944","-97.761803"
