"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2011","AQS","060370002","2","10.4","ppb","9","Azusa","22","92.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/02/2011","AQS","060370002","2","22.7","ppb","21","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/03/2011","AQS","060370002","2","21.9","ppb","20","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/15/2011","AQS","060370002","2","26.8","ppb","25","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/16/2011","AQS","060370002","2","16.9","ppb","15","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/17/2011","AQS","060370002","2","66.2","ppb","64","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/18/2011","AQS","060370002","2","45.1","ppb","42","Azusa","22","92.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/19/2011","AQS","060370002","2","47.4","ppb","44","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/28/2011","AQS","060370002","2","49.8","ppb","46","Azusa","18","75.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/29/2011","AQS","060370002","2","33.9","ppb","31","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/30/2011","AQS","060370002","2","27.8","ppb","25","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2011","AQS","060370002","2","41.4","ppb","39","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2011","AQS","060370002","2","35.9","ppb","33","Azusa","22","92.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2011","AQS","060370002","2","37.9","ppb","35","Azusa","18","75.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/05/2011","AQS","060370002","2","57.3","ppb","54","Azusa","23","96.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
